2026-07-10 12:26:35,535 | INFO | Attachment found in: post 
2026-07-10 12:26:35,535 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:26:35,535 | INFO | Email loaded: post 
2026-07-10 12:26:35,535 | INFO | Email loaded: hn   mjhb 
2026-07-10 12:26:35,604 | INFO | Email loaded: FRiday
2026-07-10 12:26:35,608 | INFO | Attachment found in: email
2026-07-10 12:26:35,608 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:26:35,608 | INFO | Email loaded: email
2026-07-10 12:26:35,616 | INFO | Email loaded: gdhnss
2026-07-10 12:26:40,680 | INFO | Attachment found in: post 
2026-07-10 12:26:40,681 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:26:40,681 | INFO | Email loaded: post 
2026-07-10 12:26:40,682 | INFO | Email loaded: hn   mjhb 
2026-07-10 12:26:40,713 | INFO | Email loaded: FRiday
2026-07-10 12:26:40,715 | INFO | Attachment found in: email
2026-07-10 12:26:40,715 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:26:40,715 | INFO | Email loaded: email
2026-07-10 12:26:40,717 | INFO | Email loaded: gdhnss
2026-07-10 12:26:46,920 | INFO | Attachment found in: post 
2026-07-10 12:26:46,921 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:26:46,921 | INFO | Email loaded: post 
2026-07-10 12:26:46,922 | INFO | Email loaded: hn   mjhb 
2026-07-10 12:26:46,948 | INFO | Email loaded: FRiday
2026-07-10 12:26:46,951 | INFO | Attachment found in: email
2026-07-10 12:26:46,951 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:26:46,951 | INFO | Email loaded: email
2026-07-10 12:26:46,952 | INFO | Email loaded: gdhnss
2026-07-10 12:26:54,065 | INFO | Attachment found in: post 
2026-07-10 12:26:54,065 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:26:54,065 | INFO | Email loaded: post 
2026-07-10 12:26:54,081 | INFO | Email loaded: hn   mjhb 
2026-07-10 12:26:54,128 | INFO | Email loaded: FRiday
2026-07-10 12:26:54,144 | INFO | Attachment found in: email
2026-07-10 12:26:54,144 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:26:54,144 | INFO | Email loaded: email
2026-07-10 12:26:54,144 | INFO | Email loaded: gdhnss
2026-07-10 12:27:03,512 | INFO | Attachment found in: post 
2026-07-10 12:27:03,512 | ERROR | Attachment saving failed: [Errno 2] No such file or directory: 'attachments\\Post-Mid-Term Assignment 2 TRW.pdf'
2026-07-10 12:27:03,512 | INFO | Email loaded: post 
2026-07-10 12:27:03,512 | INFO | Email loaded: hn   mjhb 
2026-07-10 12:27:03,562 | INFO | Email loaded: FRiday
2026-07-10 12:27:03,574 | INFO | Attachment found in: email
